F251i,DoCoMo/1.0/F251i/c10,10,132,140,65536,
N251i,DoCoMo/1.0/N251i/c10,10,132,140,65536,
N251iS,DoCoMo/1.0/N251iS/c10,10,132,140,65536,
P251iS,DoCoMo/1.0/P251iS/c10,10,132,144,65536,
F671iS,DoCoMo/1.0/F671iS/c10,10,160,120,65536,
F212i,DoCoMo/1.0/F212i/c10,10,132,136,65536,
SO212i,DoCoMo/1.0/SO212i/c10,10,120,112,65536,
F661i,DoCoMo/1.0/F661i/c10,10,132,136,65536,
F672i,DoCoMo/1.0/F672i/c10,10,160,120,65536,
SO213i,DoCoMo/1.0/SO213i/c10,10,120,112,65536,
SO213iS,DoCoMo/1.0/SO213iS/c10,10, 120,112,65536,
F2051,DoCoMo/2.0 F2051,100,176,182,65536,
N2051,DoCoMo/2.0 N2051,100,176,198,65536,
P2102V,DoCoMo/2.0 P2102V,100,176,198,262144,
F2102V,DoCoMo/2.0 F2102V,100,176,182,65536,
N2102V,DoCoMo/2.0 N2102V,100,176,198,65536,
N2701,DoCoMo/2.0 N2701,100,176,198,65536,
N2701,DoCoMo/1.0/N2701/c10,100,176,198,65536,
D505i,DoCoMo/1.0/D505i/c20,20,240,270,262144,
SO505i,DoCoMo/1.0/SO505i/c20,20,256,240,262144,
SH505i,DoCoMo/1.0/SH505i/c20,20,240,252,262144,
N505i,DoCoMo/1.0/N505i/c20,20,240,270,262144,
F505i,DoCoMo/1.0/F505i/c20,20,240,268,262144,
P505i,DoCoMo/1.0/P505i/c20,20,240,266,65536,
D505iS,DoCoMo/1.0/D505iS/c20,20,240,270,262144,
P505iS,DoCoMo/1.0/P505iS/c20,20,240,266,65536,
N505iS,DoCoMo/1.0/N505iS/c20,20,240,270,262144,
SO505iS,DoCoMo/1.0/SO505iS/c20,20,240,256,262144,
SH505iS,DoCoMo/1.0/SH505iS/c20,20,240,252,262144,
F505iGPS,DoCoMo/1.0/F505iGPS/c20,20,240,268,262144,
D252i,DoCoMo/1.0/D252i/c10,10,276,198,262144,
